Carpet Area,Bedrooms,Bathrooms,Floors,Year Built,Location,Price (in rupees)
"2,222",2,1.6,2.0,1938,Delhi,"14,824,416.1"
"3,814",5,3.2,1.0,1914,Mumbai,"29,637,505.5"
"3,657",3,3.6,1.0,1962,Pune,"18,679,888.0"
"3,125",1,1.6,1.0,1998,Bangalore,"18,956,751.599999998"
"3,229",4,1.8,2.5,2006,Bangalore,"19,982,671.2"
"2,097",1,3.7,1.0,1936,Jaipur,"8,608,880.8"
"3,560",4,1.0,1.0,1914,Bangalore,"21,908,257.2"
"3,193",5,3.7,2.0,1903,Jaipur,"13,379,540.0"
"4,127",3,1.1,3.0,1962,Jaipur,"16,840,677.6"
"1,863",4,1.3,1.5,1906,Bangalore,"11,822,964.0"
"2,481",5,3.6,2.0,1951,Mumbai,"19,535,230.5"
"2,163",4,1.7,1.5,1930,Pune,"11,388,205.0"
"2,029",2,1.7,2.0,1990,Mumbai,"15,662,790.0"
"2,538",1,3.5,2.5,1979,Mumbai,"19,482,754.5"
"3,802",3,2.6,1.5,1992,Jaipur,"15,631,368.0"
"2,737",5,2.1,2.5,2000,Pune,"14,276,523.0"
"1,806",3,3.1,1.0,1962,Pune,"9,470,739.0"
"4,529",1,3.4,1.5,1908,Jaipur,"18,277,226.400000002"
"3,175",4,3.6,2.0,1947,Jaipur,"13,225,460.8"
"1,782",4,1.4,1.5,2021,Delhi,"12,216,327.5"
"1,209",3,2.7,2.0,1901,Pune,"6,522,601.0"
"4,913",4,3.0,1.0,1920,Bangalore,"30,105,366.0"
"4,248",4,1.3,3.0,2004,Jaipur,"17,388,884.8"
"1,163",4,2.8,2.0,1965,Bangalore,"7,674,140.399999999"
"2,498",2,1.1,1.5,1940,Rural,"7,614,999.6"
"3,945",5,2.0,1.0,1915,Pune,"20,375,249.0"
"4,243",5,1.5,3.0,1943,Mumbai,"32,674,689.0"
"1,995",1,2.7,1.0,1995,Pune,"10,173,272.0"
"3,804",4,1.6,1.0,1992,Mumbai,"29,245,417.5"
"4,263",3,3.4,3.0,1950,Rural,"13,055,220.6"
"2,353",4,1.4,2.5,1930,Bangalore,"14,638,226.4"
"1,791",1,3.3,2.0,1912,Bangalore,"11,152,594.799999999"
"4,081",4,1.3,2.0,1979,Bangalore,"25,139,624.4"
"3,957",2,2.3,1.0,1913,Jaipur,"16,152,137.600000001"
"2,136",1,3.1,3.0,1997,Bangalore,"13,192,292.4"
"4,196",5,1.5,1.0,1929,Mumbai,"32,479,345.5"
"3,499",5,3.3,1.5,1935,Delhi,"23,704,913.7"
"3,652",2,3.9,2.5,1922,Jaipur,"14,852,800.8"
"1,198",5,2.1,2.5,1909,Bangalore,"7,865,611.199999999"
"2,660",2,1.0,3.0,2021,Rural,"8,137,359.0"
"4,597",5,2.4,2.5,1974,Delhi,"30,749,837.3"
"1,354",5,3.7,3.0,2013,Bangalore,"9,018,488.4"
"3,974",4,3.0,2.0,2023,Bangalore,"24,528,948.0"
"2,207",1,3.1,1.5,2016,Delhi,"14,756,336.4"
"3,277",5,3.4,1.5,2016,Rural,"10,281,659.4"
"2,233",1,3.7,3.0,1945,Rural,"6,891,201.0"
"4,010",1,1.4,2.0,1991,Jaipur,"16,185,794.4"
702,5,2.8,2.0,1939,Mumbai,"6,134,079.0"
"3,755",1,3.7,2.0,1974,Mumbai,"28,452,255.0"
"4,718",2,3.3,2.0,1917,Pune,"23,964,681.0"
"4,996",3,1.7,1.0,1937,Pune,"25,310,078.0"
"1,266",2,3.6,1.0,1951,Mumbai,"9,946,393.5"
"4,889",5,1.9,2.5,1967,Bangalore,"30,116,712.0"
"2,827",2,2.2,3.0,1996,Delhi,"18,894,889.0"
"3,431",3,1.6,1.0,1915,Bangalore,"21,069,783.599999998"
697,2,3.7,1.5,2022,Rural,"2,316,829.8"
"2,430",1,1.3,2.0,1993,Delhi,"15,911,957.1"
"4,082",5,4.0,3.0,1962,Delhi,"27,449,910.8"
"1,108",1,2.0,1.5,1997,Mumbai,"8,615,529.0"
"3,772",1,3.1,3.0,1900,Pune,"19,169,641.0"
"1,647",5,1.4,3.0,2000,Rural,"5,239,741.8"
"4,782",5,2.5,3.0,1985,Delhi,"31,990,242.7"
"3,897",4,1.1,2.0,2006,Rural,"11,995,724.4"
"3,011",3,3.6,1.0,1913,Pune,"15,480,810.0"
"2,294",1,2.3,2.5,1990,Mumbai,"17,429,671.5"
"1,159",1,3.2,3.0,1992,Jaipur,"4,874,653.600000001"
"3,311",5,3.7,3.0,1972,Delhi,"22,469,552.3"
"1,869",5,1.2,1.0,1986,Jaipur,"7,875,684.800000001"
"2,486",2,2.5,1.0,1950,Rural,"7,625,673.6"
646,1,1.6,2.0,1991,Mumbai,"4,965,778.5"
"3,719",1,1.2,1.5,1988,Delhi,"24,385,003.5"
"3,411",5,2.9,2.0,1989,Jaipur,"14,136,189.600000001"
"2,234",1,1.3,1.0,1913,Mumbai,"16,865,352.0"
"2,343",3,2.5,3.0,1956,Delhi,"15,897,362.0"
988,4,1.6,3.0,2002,Delhi,"7,160,540.4"
"3,476",5,1.6,3.0,1980,Rural,"10,745,646.6"
"2,459",5,2.6,2.5,1937,Bangalore,"15,411,165.6"
"2,885",1,2.7,2.5,1965,Bangalore,"17,554,719.599999998"
"3,419",4,1.0,1.5,1904,Bangalore,"21,112,321.2"
"2,302",4,2.5,1.5,2002,Mumbai,"18,107,721.0"
"4,561",5,3.0,3.0,1977,Mumbai,"35,233,782.0"
"3,869",5,3.0,1.5,1967,Pune,"19,983,859.0"
762,5,3.5,1.5,2017,Bangalore,"5,461,162.8"
"1,123",3,3.7,3.0,1904,Rural,"3,667,947.6"
"1,516",1,2.9,1.0,1999,Jaipur,"6,315,543.2"
"4,143",3,2.4,1.0,1908,Rural,"12,646,321.2"
"2,549",5,1.6,2.5,1963,Rural,"7,985,743.199999999"
"4,223",4,1.4,2.5,1939,Bangalore,"25,979,032.8"
"3,608",1,2.8,2.0,2007,Delhi,"23,653,683.3"
"4,590",1,3.8,2.0,1972,Delhi,"30,298,966.1"
"2,556",5,1.8,1.0,1935,Mumbai,"20,147,830.5"
"3,670",5,1.3,2.5,1996,Pune,"18,860,317.0"
"2,182",5,2.3,1.5,1926,Mumbai,"17,161,368.0"
"2,755",5,1.0,1.0,1978,Mumbai,"21,546,658.5"
"1,654",5,2.7,2.5,1956,Jaipur,"7,165,545.600000001"
"4,999",5,1.1,2.5,1990,Pune,"25,644,216.0"
"3,691",1,3.8,3.0,2014,Rural,"11,263,837.2"
"2,196",3,3.6,2.0,1908,Pune,"11,529,580.0"
"4,491",4,1.3,1.0,2011,Mumbai,"34,367,079.0"
"2,148",5,1.4,1.0,1999,Jaipur,"9,116,485.6"
"1,945",4,3.9,1.5,2011,Bangalore,"12,463,722.0"
"4,699",1,3.4,2.5,1976,Delhi,"31,021,781.7"
"4,423",4,3.8,2.0,1900,Bangalore,"27,165,164.4"
753,1,2.0,2.0,2008,Rural,"2,334,525.6"
"3,683",2,1.3,1.5,1943,Bangalore,"22,396,623.599999998"
"3,057",3,2.8,1.5,2019,Mumbai,"23,698,825.5"
598,2,3.9,2.5,1965,Mumbai,"4,994,461.5"
"2,700",1,1.4,1.0,1916,Rural,"8,221,456.8"
"3,461",2,3.5,1.0,1918,Bangalore,"21,202,891.2"
"4,933",1,2.1,3.0,1958,Pune,"24,833,165.0"
"4,277",2,1.3,1.0,1954,Rural,"12,975,490.799999999"
"3,369",1,2.4,1.5,1955,Delhi,"22,180,847.0"
"3,734",3,2.5,1.0,1902,Rural,"11,409,528.6"
"4,291",3,1.0,2.0,1954,Pune,"21,802,293.0"
"1,456",3,2.4,2.5,1945,Mumbai,"11,539,638.0"
"4,567",1,2.9,3.0,1962,Delhi,"29,892,296.2"
660,4,3.3,1.0,1928,Rural,"2,281,391.4"
"4,993",2,1.3,3.0,1918,Jaipur,"20,126,232.0"
"1,800",2,3.6,3.0,1920,Pune,"9,443,373.0"
"4,487",2,1.5,1.5,1906,Jaipur,"18,120,816.8"
"2,027",2,3.0,1.0,1947,Bangalore,"12,630,697.2"
"1,718",3,2.7,2.0,1925,Jaipur,"7,240,533.600000001"
"4,996",4,3.6,2.5,1970,Mumbai,"38,253,225.0"
"3,604",2,1.1,1.0,1921,Jaipur,"14,602,549.600000001"
"3,235",4,1.6,1.5,1924,Bangalore,"19,872,476.4"
"1,454",1,1.4,1.0,1996,Jaipur,"5,900,597.600000001"
"3,946",1,2.0,1.5,2022,Jaipur,"15,924,972.0"
"1,545",2,2.0,1.5,1928,Rural,"4,804,621.8"
"2,193",5,1.3,2.0,1919,Delhi,"14,874,987.4"
"3,936",3,2.5,1.5,1996,Jaipur,"16,097,850.4"
"1,062",2,1.3,3.0,1940,Jaipur,"4,516,601.600000001"
"2,985",3,1.2,2.0,1977,Jaipur,"12,291,954.4"
"3,854",2,1.1,3.0,2014,Pune,"19,519,996.0"
725,3,3.8,2.0,1949,Mumbai,"6,026,023.5"
"1,459",5,2.2,2.5,1941,Pune,"7,807,179.0"
"3,567",5,1.9,2.0,1954,Jaipur,"14,822,868.8"
"1,315",1,2.4,3.0,1984,Mumbai,"10,095,625.5"
"3,620",2,1.5,1.5,2024,Bangalore,"22,075,512.0"
516,5,2.2,1.5,1981,Delhi,"4,111,455.4000000004"
"1,743",5,1.6,1.5,1904,Pune,"9,369,056.0"
"2,705",2,1.9,2.0,2020,Jaipur,"10,993,653.600000001"
"3,024",2,3.8,2.0,1916,Rural,"9,277,744.799999999"
"1,569",1,1.4,3.0,2023,Pune,"7,973,391.0"
"3,944",5,2.4,2.5,2006,Pune,"20,252,923.0"
"3,065",3,3.0,2.5,1905,Bangalore,"18,935,920.8"
"1,560",2,3.8,2.0,2019,Bangalore,"9,752,254.799999999"
"2,827",2,3.8,1.0,1961,Bangalore,"17,466,426.0"
"3,920",2,1.7,2.0,1984,Jaipur,"15,890,520.0"
801,2,3.8,2.0,1932,Rural,"2,661,650.4"
"4,776",5,2.0,2.5,1958,Pune,"24,473,676.0"
"1,106",3,3.7,2.5,1927,Rural,"3,550,248.0"
"3,670",1,1.3,3.0,1926,Mumbai,"27,880,507.5"
"1,199",4,1.6,1.0,1937,Mumbai,"9,668,694.0"
"1,639",5,1.2,1.5,1920,Rural,"5,288,740.2"
690,5,1.9,2.5,1907,Pune,"4,095,909.0"
"2,800",4,3.6,1.0,1904,Jaipur,"11,725,503.200000001"
"1,480",4,1.5,1.0,2014,Mumbai,"11,947,120.5"
"3,475",2,1.7,3.0,1976,Mumbai,"26,583,048.0"
"1,684",3,1.6,1.5,2001,Rural,"5,322,750.6"
"3,827",5,1.8,3.0,2004,Delhi,"25,661,550.2"
"3,894",5,1.1,1.0,1935,Pune,"19,979,252.0"
627,1,2.3,3.0,1921,Rural,"2,017,934.4"
"2,565",4,3.9,1.5,1973,Pune,"13,425,184.0"
"2,316",4,2.3,2.0,1949,Mumbai,"18,001,959.0"
"1,069",5,3.4,2.5,1971,Pune,"6,091,052.0"
"2,395",4,2.7,1.5,1913,Jaipur,"9,999,960.8"
"3,233",2,1.0,3.0,1978,Rural,"9,894,614.4"
"4,363",1,2.8,2.5,2005,Delhi,"28,545,704.2"
"4,514",5,3.8,2.0,2017,Jaipur,"18,533,388.8"
"3,401",1,2.7,3.0,2016,Bangalore,"20,574,396.0"
"2,186",2,2.6,2.5,1965,Delhi,"14,520,309.700000001"
"3,509",1,3.0,2.5,1983,Pune,"17,859,370.0"
654,4,3.6,2.5,1992,Rural,"2,291,677.8"
"3,037",5,2.7,2.0,1949,Mumbai,"23,727,715.5"
"1,909",1,2.2,2.0,1997,Bangalore,"11,808,678.0"
"4,557",3,1.1,2.0,1967,Mumbai,"34,833,699.0"
"1,284",5,1.3,1.5,1918,Pune,"6,923,339.0"
"3,675",1,2.9,1.0,1923,Jaipur,"14,898,229.600000001"
"4,841",5,2.9,1.0,2015,Jaipur,"19,887,343.2"
"3,306",1,1.7,1.0,1978,Bangalore,"20,035,284.0"
"1,037",1,3.2,1.0,1977,Jaipur,"4,276,688.8"
"2,341",4,1.8,2.0,1962,Mumbai,"18,396,705.0"
"2,955",1,1.9,1.0,1977,Mumbai,"22,418,796.0"
"1,024",3,1.2,2.0,1968,Jaipur,"4,447,492.8"
"3,450",4,2.7,3.0,2021,Delhi,"23,073,512.8"
"4,631",3,1.9,2.0,2008,Mumbai,"35,331,553.5"
"4,615",3,3.5,1.5,1929,Jaipur,"18,830,485.6"
"2,868",2,3.4,1.0,1981,Mumbai,"22,008,730.5"
"4,347",3,1.4,2.0,2010,Jaipur,"17,739,328.8"
"4,995",1,1.5,3.0,1902,Mumbai,"37,643,025.0"
"3,201",5,2.0,2.5,1900,Jaipur,"13,305,847.200000001"
"1,471",4,2.7,3.0,2009,Jaipur,"6,323,535.2"
"1,666",4,2.0,1.0,1988,Delhi,"11,492,772.200000001"
"3,274",4,2.1,1.5,1963,Jaipur,"13,462,347.200000001"
"2,482",5,1.4,2.0,1946,Jaipur,"10,369,339.200000001"
"1,353",3,2.0,2.0,2015,Bangalore,"8,685,919.2"
"4,646",2,2.4,2.5,1928,Delhi,"30,553,862.3"
"4,236",1,4.0,1.5,1921,Delhi,"28,018,321.5"
"4,269",4,3.5,2.0,2024,Bangalore,"26,388,850.8"
"1,074",1,3.4,2.0,2017,Pune,"5,700,812.0"
"3,761",3,2.7,2.0,1915,Bangalore,"23,146,465.2"
"1,648",2,2.1,2.5,2000,Mumbai,"12,942,549.0"
"2,215",4,3.6,1.0,1963,Delhi,"15,100,631.0"
"4,354",3,2.0,2.5,1968,Rural,"13,254,156.0"
"2,991",2,2.8,2.5,1939,Mumbai,"23,031,855.0"
"3,160",4,1.8,3.0,2008,Mumbai,"24,453,069.0"
"3,624",3,3.3,2.0,2014,Pune,"18,566,879.0"
"3,551",1,2.5,1.0,2010,Bangalore,"21,543,435.599999998"
504,5,3.7,3.0,1994,Jaipur,"2,599,384.8000000003"
"1,376",4,2.7,2.0,2008,Mumbai,"11,053,911.0"
"1,491",2,1.5,2.0,1966,Pune,"7,723,834.0"
"4,642",2,4.0,2.5,1977,Jaipur,"18,936,465.6"
"4,864",5,2.5,1.5,1919,Delhi,"32,513,787.8"
"4,965",5,1.8,3.0,2011,Pune,"25,407,353.0"
"1,135",3,2.0,2.5,1925,Jaipur,"4,857,129.600000001"
"2,193",5,1.4,3.0,1941,Pune,"11,617,155.0"
"2,182",4,1.2,2.0,1996,Bangalore,"13,737,194.4"
619,5,2.4,2.5,1906,Bangalore,"4,457,886.0"
"1,330",4,3.9,1.0,1934,Mumbai,"11,010,030.0"
"4,175",1,1.4,2.0,1904,Rural,"12,686,916.0"
"1,869",5,3.7,3.0,1902,Pune,"10,000,953.0"
"1,240",1,3.4,1.0,1961,Rural,"3,858,316.8"
616,2,3.4,3.0,1937,Mumbai,"5,082,033.0"
"3,338",5,3.1,2.0,1985,Bangalore,"20,915,906.4"
"1,650",2,2.8,1.0,1918,Mumbai,"13,020,448.5"
"2,431",1,1.4,2.0,1997,Rural,"7,407,780.0"
"1,512",2,2.7,2.0,1910,Delhi,"10,268,772.8"
"2,164",1,2.1,2.5,1954,Jaipur,"8,884,836.0"
"1,581",3,1.3,2.0,1987,Mumbai,"12,531,289.5"
"1,012",1,3.4,1.5,1912,Pune,"5,300,962.0"
"3,349",3,2.6,1.0,1942,Jaipur,"13,780,212.8"
"1,059",2,3.2,2.0,1906,Mumbai,"8,601,070.5"
"4,172",1,2.4,1.5,1953,Rural,"12,611,297.4"
"3,843",3,2.7,1.0,1944,Mumbai,"29,574,633.0"
"4,570",1,3.1,2.0,1940,Bangalore,"27,729,130.8"
"1,970",4,1.7,2.5,1910,Pune,"10,317,103.0"
"1,080",4,3.5,1.0,1960,Pune,"5,892,517.0"
"2,794",2,2.3,2.0,1982,Mumbai,"21,487,723.5"
"3,647",4,3.1,1.0,1971,Rural,"11,258,416.2"
"4,749",5,2.0,2.5,1925,Mumbai,"36,508,776.0"
"2,179",3,3.1,1.0,1917,Mumbai,"17,117,692.5"
"4,006",5,1.1,1.5,1901,Rural,"12,363,726.0"
"3,244",4,3.8,3.0,1972,Delhi,"21,967,090.6"
"3,856",2,3.4,2.5,2011,Delhi,"25,673,554.400000002"
"4,545",5,3.0,1.0,1984,Pune,"23,403,341.0"
"1,743",2,2.0,1.0,1920,Bangalore,"10,905,686.4"
"3,618",1,3.5,1.5,1949,Mumbai,"27,610,023.0"
"2,641",5,3.3,1.0,1974,Mumbai,"20,677,855.5"
"3,559",1,2.4,1.0,2015,Pune,"17,953,626.0"
"3,459",5,1.6,1.5,1990,Delhi,"23,280,774.400000002"
"2,765",3,1.5,2.0,1945,Delhi,"18,350,692.1"
"2,979",2,2.5,3.0,1940,Pune,"15,241,789.0"
"2,135",1,3.4,1.5,2019,Mumbai,"16,281,834.0"
"2,257",4,3.1,1.5,1934,Bangalore,"14,262,146.4"
"4,952",5,2.5,1.5,1938,Rural,"15,212,326.2"
"2,570",1,1.6,2.0,1949,Delhi,"16,927,263.6"
"3,349",5,1.7,3.0,1911,Rural,"10,422,557.4"
"3,751",5,1.2,3.0,1971,Delhi,"25,170,562.3"
"4,230",5,1.5,1.0,1954,Mumbai,"32,566,410.0"
"2,989",1,1.0,1.5,1957,Mumbai,"22,709,121.0"
"2,131",1,3.0,2.0,1938,Delhi,"14,141,297.3"
"3,316",5,2.8,2.0,1987,Rural,"10,375,972.2"
"1,515",4,4.0,2.0,1970,Jaipur,"6,472,520.800000001"
"1,848",2,3.3,1.5,1995,Mumbai,"14,273,248.5"
"3,587",5,1.7,2.5,1956,Mumbai,"27,743,097.0"
"3,339",4,3.1,2.5,1994,Bangalore,"20,663,448.0"
835,2,1.0,1.5,1909,Rural,"2,602,926.0"
"1,395",5,4.0,1.0,1940,Mumbai,"11,365,614.0"
"4,046",2,2.8,1.0,1923,Delhi,"26,681,961.8"
"1,351",5,1.4,1.0,1915,Pune,"7,373,992.0"
"2,187",1,2.5,2.0,2019,Delhi,"14,572,097.8"
"2,431",5,3.8,2.0,1951,Jaipur,"10,214,395.200000001"
"4,246",5,3.5,3.0,1957,Bangalore,"26,311,012.8"
"2,927",5,1.9,2.0,1924,Mumbai,"22,758,847.5"
"2,068",5,2.2,2.0,2006,Delhi,"14,242,653.1"
"4,500",4,3.6,2.0,1909,Rural,"13,876,525.2"
"3,238",3,3.7,1.0,1995,Rural,"9,954,688.799999999"
"3,998",4,3.7,2.5,1983,Rural,"12,296,901.0"
"4,413",4,3.8,1.0,1905,Bangalore,"27,218,038.8"
"1,566",1,2.5,3.0,1930,Jaipur,"6,457,098.4"
"4,880",5,3.6,1.5,1924,Pune,"25,029,400.0"
"2,944",4,2.0,1.5,1992,Jaipur,"12,145,900.8"
"4,607",2,3.5,3.0,1937,Bangalore,"28,152,759.599999998"
"3,873",5,2.0,2.0,1991,Delhi,"26,038,522.900000002"
"4,469",1,2.8,1.0,1989,Rural,"13,557,034.799999999"
"3,046",1,2.4,2.5,1929,Bangalore,"18,483,481.2"
"1,253",2,3.7,3.0,1928,Bangalore,"8,000,256.0"
"2,582",1,1.2,1.0,1996,Bangalore,"15,672,741.6"
"3,274",5,3.8,1.0,1902,Pune,"17,132,915.0"
"3,396",3,2.4,1.0,1985,Pune,"17,408,409.0"
"4,685",3,2.4,1.0,1938,Pune,"23,942,144.0"
"1,275",4,3.5,1.0,1965,Rural,"4,152,682.8"
"2,125",1,3.0,1.5,2004,Jaipur,"8,699,825.6"
"3,569",5,3.9,2.0,2017,Pune,"18,576,277.0"
917,2,2.6,3.0,2022,Delhi,"6,348,303.0"
614,2,2.7,2.0,1958,Pune,"3,442,429.0"
"1,116",5,3.9,2.0,1936,Delhi,"8,094,412.3"
"4,474",5,3.8,2.0,2023,Delhi,"29,855,598.5"
"3,767",2,1.6,3.0,1969,Rural,"11,466,325.2"
"1,325",1,1.9,2.0,1975,Rural,"4,033,986.0"
"2,016",4,2.9,1.0,1918,Rural,"6,319,490.399999999"
"3,646",4,3.8,2.0,2003,Delhi,"24,391,325.400000002"
912,4,2.7,2.5,2010,Mumbai,"7,539,742.5"
"1,228",5,3.2,2.5,1922,Jaipur,"5,408,280.0"
"3,848",2,1.3,1.0,1959,Pune,"19,571,513.0"
"3,308",2,2.6,2.5,1991,Jaipur,"13,534,284.0"
"1,175",2,1.4,2.5,1919,Mumbai,"9,328,588.5"
"3,965",2,1.8,1.5,1964,Bangalore,"24,139,328.4"
